"PLU","CATEGORY","COMMODITY","VARIETY","SIZE","MEASUREMENTS: NORTH AMERICA","MEASUREMENTS: REST OF WORLD","RESTRICTIONS / NOTES","BOTANICAL NAME","AKA","NOTES","REVISION DATE","DATE ADDED","GPC","IMAGE","IMAGE_SOURCE","","",""
"3090","Vegetables","EGGPLANT (AUBERGINE)","Thai","All Sizes","","","","Solanum melongena","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","http://check.ifpsglobal.com/file/view/3090-eggplant-thai_1635266761.jpg","","","",""
"3091","Vegetables","GOBO ROOT/BURDOCK","","All Sizes","","","","Arctium lappa","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","http://check.ifpsglobal.com/file/view/3091gobo-root-02_1614634374.jpg","","","",""
"3092","Fruits","GRAPEFRUIT","OroBlanco/Sweetie","All Sizes","","","","Citrus paradisi","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","","","","",""
"3093","Fruits","GRAPES","Retailer Assigned","All Sizes","","","","Vitis vinifera","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","","","","",""
"3094","Fruits","GRAPES","Retailer Assigned","All Sizes","","","","Vitis vinifera","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","","","","",""
"3095","Vegetables","KALE","Multicolor","All Sizes","","","","Brassica oleracea","","","2003-10-29 00:00:00","2003-10-29 00:00:00"," ","http://check.ifpsglobal.com/file/view/3095-kale-flowering-02_1614634860.jpg","","","",""
"3096","Vegetables","KOHLRABI","Purple/Red/All Other Colors","All Sizes","","","","Brassica oleracea","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","","","","",""
"3097","Vegetables","LETTUCE","Romaine, Red","All Sizes","","","","Lactuca sativa","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","","","","",""
"3098","Vegetables","LETTUCE","Boston, Red","All Sizes","","","","Lactuca sativa","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","","","","",""
"3099","Vegetables","LOTUS ROOT","","All Sizes","","","","Nelumbo nucifera","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","http://check.ifpsglobal.com/file/view/3099-lotus-root-03_1614635240.jpg","","","",""
"3100","Fruits","MELON","Gold Honeydew","All Sizes","","","","Cucumis melo","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","","","","",""
"3101","Fruits","MELON","Piel de Sapo","All Sizes","","","","Cucumis melo","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","","","","",""
"3102","Vegetables","MUSHROOMS","Morel","All Sizes ","","","","Morchella angusticeps","","","2018-10-08 15:10:51","1999-12-31 00:00:00"," ","","","","",""
"3103","Vegetables","MUSHROOMS","Enoki","All Sizes","","","","Flammulina velutipe","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","http://check.ifpsglobal.com/file/view/3103-mushrooms-enoki-01_1614635622.jpg","","","",""
"3104","Fruits","APPLES","RoHo 3615"," All Sizes  ","","","","Malus domestica","Evelina","","2020-04-16 14:52:12","2012-12-11 00:00:00"," ","http://check.ifpsglobal.com/file/view/3104-roho-3615-apple_1460402964.JPG","image note","","",""
"3105","Nuts","CASHEWS","","All Sizes","","","","Anacardium occidental","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","http://check.ifpsglobal.com/file/view/3105-cashews-03_1614635878.JPG","","","",""
"3106","Nuts","MACADAMIA","","All Sizes","","","","Macadamia integrifolia","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","http://check.ifpsglobal.com/file/view/3106-macadamias_1614705972.JPG","","","",""
"3107","Fruits","ORANGES","Navel","Medium","88/72 size","Average Fruit Dimensions = 66mm - under 84mm","","Citrus spp.","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","http://check.ifpsglobal.com/file/view/4012-navel-orange_1634141175.jpg","","","",""
"3108","Fruits","ORANGES","Valencia","Medium","88/72 size","Average Fruit Dimensions = 66mm - under 84mm","","Citrus spp.","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","http://check.ifpsglobal.com/file/view/3108-valencia-orange_1635171041.jpg","","","",""
"3109","Fruits","ORANGES","Seville (Marmalade type)","All Sizes","","","","Citrus spp.","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","http://check.ifpsglobal.com/file/view/3109-oranges-seville-03_1614706906.jpg","","","",""
"3110","Fruits","ORANGES","Navel, Cara Cara (Red)","All Sizes","","","","Citrus spp.","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","","","","",""
"3111","Fruits","PAPAYA/PAWPAW","Red-Fleshed (Solo Sunrise)","All Sizes","","","","Carica papaya","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","","","","",""
"3112","Fruits","PAPAYA/PAWPAW","Meridol","All Sizes","","","","Carica papaya","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","http://check.ifpsglobal.com/file/view/3112-papaya-meridol_1634143186.jpg","","","",""
"3113","Fruits","PEACHES","Flat White Flesh (Saturn type)"," All Sizes ","","","","Prunus persica","","","2021-02-26 18:44:23","2008-11-26 00:00:00"," ","http://check.ifpsglobal.com/file/view/3113-peaches-donut-04_1614707155.jpg","","","",""
"3114","Fruits","MANGO","Green","Extra Large","7 size and larger","","","Magnifera Indica","Keitt and Francis varieties","","2016-04-12 15:50:07","2008-11-26 00:00:00"," ","http://check.ifpsglobal.com/file/view/3114-green-mango_1460476199.JPG","","","",""
"3115","Fruits","PEACHES","Flat Yellow Flesh"," All Sizes ","","","","Prunus persica","","","2021-02-26 18:44:50","2008-11-26 00:00:00"," ","http://check.ifpsglobal.com/file/view/yellow-flesh-peach_1626369347.JPG","","","",""
"3116","Fruits","PEACHES","Yellow Flesh (Tree Ripened/Ready-to-eat)"," Small ","70 size and smaller","Average Fruit Weight =  less than 185g","Restricted for items grown east of the Mississippi River in the U.S. or east of the Ontario/Manitoba border in Canada.","Prunus persica","","","2021-02-26 18:45:18","1999-12-31 00:00:00"," ","http://check.ifpsglobal.com/file/view/4403-peaches-1-1625664942_1633450458.jpg","","","",""
"3117","Fruits","PEACHES","Yellow Flesh (Tree Ripened/Ready-to-eat)"," Large ","66 size and larger","Average Fruit Weight =  185g and above","Restricted for items grown east of the Mississippi River in the U.S. or east of the Ontario/Manitoba border in Canada.","Prunus persica","","","2021-02-26 18:46:43","1999-12-31 00:00:00"," ","http://check.ifpsglobal.com/file/view/4403-peaches-1-1625664942_1633450538.jpg","","","",""
"3118","Fruits","PEARS","Starkrimson","All Sizes","","","","Pyrus spp.","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","http://check.ifpsglobal.com/file/view/3118-starkrimson-pear_1629985883.PNG","","","",""
"3119","Vegetables","PEPPERS (CAPSICUMS)","Bell, Greenhouse - Green","Small","med. size and smaller","Min diameter less than 65mm","","Capsicum spp.","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","http://check.ifpsglobal.com/file/view/4065-bells-green-08-1625063277_1632946052.jpg","","","",""
"3120","Vegetables","PEPPERS (CAPSICUMS)","Bell, Greenhouse - Green","Large","large size and larger","Min diameter 65mm and above","","Capsicum spp.","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","http://check.ifpsglobal.com/file/view/4065-bells-green-08-1625063277_1632945692.jpg","","","",""
"3121","Vegetables","PEPPERS (CAPSICUMS)","Bell, Greenhouse - Orange","All Sizes","","","","Capsicum spp.","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","http://check.ifpsglobal.com/file/view/4682-bells-orange-01-1625684866_1632945425.jpg","","","",""
"3122","Vegetables","PEPPERS (CAPSICUMS)","Bell, Greenhouse - White","All Sizes","","","","Capsicum spp.","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","","","","",""
"3123","Vegetables","PEPPERS (CAPSICUMS)","Bell, Greenhouse - Brown","All Sizes","","","","Capsicum spp.","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","","","","",""
